id,batchID,equinomeID,SNPChip,Year of Birth,sex,Country Reported,Horse Name,Sire,Dam,Month of Birth,Country of Birth,,,,,,,
20141205_DAR001_018,20141205,DAR001_018,SNP70,2014,Male,France,,,,May,Northern Hemisphere,,,,,,,
20141205_HES001_017,20141205,HES001_017,SNP70,2012,Female,Great Britain,,,,March,Great Britain,,,,,,,
20141205_HES001_018,20141205,HES001_018,SNP70,2014,Female,Great Britain,,,,January,Great Britain,,,,,,,
20141205_HES001_019,20141205,HES001_019,SNP70,2014,Female,Great Britain,,,,February,Great Britain,,,,,,,
20141205_HES001_020,20141205,HES001_020,SNP70,2014,Female,Great Britain,,,,February,Great Britain,,,,,,,
20141205_HES001_021,20141205,HES001_021,SNP70,2012,Female,Great Britain,,,,March,Great Britain,,,,,,,
20141205_HES001_022,20141205,HES001_022,SNP70,2012,Female,Great Britain,,,,May,Great Britain,,,,,,,
20141205_HES001_023,20141205,HES001_023,SNP70,2012,Female,Great Britain,,,,February,Great Britain,,,,,,,
20141205_RTS001_045,20141205,RTS001_045,SNP70,2013,Male,Australia,Curadhan,Sepoy,Import Bell,October,Australia,,,,,,,
20141205_RTS001_056,20141205,RTS001_056,SNP70,2013,Male,Australia,Luna Rossa,Testa Rossa,Tremezzo,September,Australia,,,,,,,
20141205_RTS001_058,20141205,RTS001_058,SNP70,2013,Female,Australia,Total Belief,Not A Single Doubt,Strata Title,October,Australia,,,,,,,
20141205_RTS001_061,20141205,RTS001_061,SNP70,2013,Female,Australia,Trouble Ahead,Dream Ahead,Loyal Lauren,September,Australia,,,,,,,
20141209_867808,20141209,867808,SNP70,2004,Female,Ireland,Solar Sail,Daggers Drawn,Reba,March,Ireland,,,,,,,
20141209_AHT001_007,20141209,AHT001_007,SNP70,2013,Male,Australia,Gainsbourg,Redoutes Choice,Anamour,September,Australia,,,,,,,
20141209_AHT001_012,20141209,AHT001_012,SNP70,2013,Female,Australia,Mekies Dream,Pluck,Mrs Post,September,Australia,,,,,,,
20141209_EPH001_007,20141209,EPH001_007,SNP70,,,,,,,,,,,,,,,
20141209_EPH001_008,20141209,EPH001_008,SNP70,,,,,,,,,,,,,,,
20141209_EPH001_009,20141209,EPH001_009,SNP70,,,,,,,,,,,,,,,
20141209_EPH001_010,20141209,EPH001_010,SNP70,,,,,,,,,,,,,,,
20141209_EPH001_011,20141209,EPH001_011,SNP70,,,,,,,,,,,,,,,
20141209_EPH001_012,20141209,EPH001_012,SNP70,,,,,,,,,,,,,,,
20141209_EPH001_013,20141209,EPH001_013,SNP70,,,,,,,,,,,,,,,
20141209_EPH001_014,20141209,EPH001_014,SNP70,,,,,,,,,,,,,,,
20141209_EVS001_004,20141209,EVS001_004,SNP70,2013,Female,Australia,,Lonhro,Legal Consent,September,Australia,,,,,,,
20141209_EVS001_005,20141209,EVS001_005,SNP70,2013,Female,Australia,,Sepoy,Miss Alabama,August,Australia,,,,,,,
20141209_EVS001_006,20141209,EVS001_006,SNP70,2013,Female,Australia,,Medaglia dOro,Lady Jakeo,September,Australia,,,,,,,
20141209_EVS001_007,20141209,EVS001_007,SNP70,2013,Female,Australia,,Street Cry,Emancipationist,August,Australia,,,,,,,
20141209_HES001_001,20141209,HES001_001,SNP70,2009,Female,Great Britain,,,,April,USA,,,,,,,
20141209_HES001_003,20141209,HES001_003,SNP70,2001,Female,Great Britain,,,,February,Great Britain,,,,,,,
20141209_HES001_004,20141209,HES001_004,SNP70,2007,Female,Great Britain,,,,May,Ireland,,,,,,,
20141209_HES001_005,20141209,HES001_005,SNP70,2006,Female,Great Britain,,,,March,USA,,,,,,,
20141209_HES001_008,20141209,HES001_008,SNP70,2010,Female,Great Britain,,,,March,USA,,,,,,,
20141209_HES001_016,20141209,HES001_016,SNP70,2012,Female,Great Britain,,,,February,Northern Hemisphere,,,,,,,
20141209_LIP001_019,20141209,LIP001_019,SNP70,2009,Male,Australia,Adoboli,Nadeem,Myskina,October,Australia,,,,,,,
20141209_LIP001_021,20141209,LIP001_021,SNP70,,,,,,,,,,,,,,,
20141209_LIP001_032,20141209,LIP001_032,SNP70,2010,Male,Australia,Puppetry in Motion,De Beers,Puppet Show,September,Australia,,,,,,,
20141209_LIP001_048,20141209,LIP001_048,SNP70,2009,Male,Australia,Trevalan,Enemy Of Average,Not Talking,August,Australia,,,,,,,
20141209_LIP001_052,20141209,LIP001_052,SNP70,2009,Male,Australia,Red Carpet Moment,Barely a Moment,Red Glamour,August,Australia,,,,,,,
20141209_LIP001_053,20141209,LIP001_053,SNP70,2007,Male,Australia,Like a Fox,Don Eduardo,Gesine,October,New Zealand,,,,,,,
20141209_LIP001_060,20141209,LIP001_060,SNP70,2009,Female,Australia,Nixon,General Nediym,Crazy Fling,September,Australia,,,,,,,
20141209_LIP001_075,20141209,LIP001_075,SNP70,2009,Male,Australia,Mr Mustafa,Al Maher,Desert Trick,October,Australia,,,,,,,
20141209_LIP001_077,20141209,LIP001_077,SNP70,2009,Male,Australia,Dee Tees,De Beers,Newenham,October,Australia,,,,,,,
20141209_LIP001_137,20141209,LIP001_137,SNP70,2008,Male,Australia,Minute by Minute,Barely a Moment,Movida,August,Australia,,,,,,,
20141209_LIP001_138,20141209,LIP001_138,SNP70,2008,Male,Australia,Jungle Ranger,Jungle Pocket,Designer Belle,November,Australia,,,,,,,
20141209_LIP001_176,20141209,LIP001_176,SNP70,2010,Male,Australia,Super Knight,Super Kid,Applique,October,Australia,,,,,,,
20141209_LIP001_179,20141209,LIP001_179,SNP70,2010,Male,Australia,Mutazaayid,Nadeem,Edaara,August,Australia,,,,,,,
20141209_LIP001_182,20141209,LIP001_182,SNP70,2010,Male,Australia,,Myboycharlie,Translate,August,Australia,,,,,,,
20141209_LIP001_191,20141209,LIP001_191,SNP70,2010,Female,Australia,Alabama Glamour,Barely a Moment,Red Glamour,August,Australia,,,,,,,
20141209_LIP001_192,20141209,LIP001_192,SNP70,2010,Female,Australia,Super Lady,Super Kid,Rouquest,September,Australia,,,,,,,
20141209_LIP001_194,20141209,LIP001_194,SNP70,2010,Male,Australia,,Elvstroem,Weekend Surprise,August,Australia,,,,,,,
20141209_LNF001_008,20141209,LNF001_008,SNP70,2013,Male,Australia,,Sebring,Rhodamine,October,Australia,,,,,,,
20141209_LNF001_009,20141209,LNF001_009,SNP70,2013,Male,Australia,,Snitzel,Inthemix,October,Australia,,,,,,,
20141209_LNF001_010,20141209,LNF001_010,SNP70,2013,Female,Australia,,Snitzel,Five Star Belle,August,Australia,,,,,,,
20141209_LNF001_011,20141209,LNF001_011,SNP70,2013,Female,Australia,,Star Witness,Spectacula,September,Australia,,,,,,,
20141209_RLD001_001,20141209,RLD001_001,SNP70,2013,Female,Australia,,Beneteau,Shelbey,September,Australia,,,,,,,
20141209_RLD001_002,20141209,RLD001_002,SNP70,2013,Female,Australia,,Nicconi,Prostar,August,Australia,,,,,,,
20141219_BAR001_057,20141219,BAR001_057,SNP70,2013,Male,Australia,,Fastnet Rock,Britomart,September,Australia,,,,,,,
20141219_BAR001_063,20141219,BAR001_063,SNP70,2013,Male,Australia,,Medaglia dOro,Kittens,August,Australia,,,,,,,
20141219_BAR001_069,20141219,BAR001_069,SNP70,2013,Male,Australia,,More Than Ready,Magically,September,Australia,,,,,,,
20141219_BAR001_070,20141219,BAR001_070,SNP70,2013,Male,Australia,Cohen,High Chaparral,Mei Lin,September,Australia,,,,,,,
20141219_BAR001_071,20141219,BAR001_071,SNP70,2013,Male,Australia,,Fastnet Rock,Miss Jakeo,October,Australia,,,,,,,
20141219_BAR001_075,20141219,BAR001_075,SNP70,2013,Male,Australia,Satchmo,More Than Ready,Portland Singa,August,Australia,,,,,,,
20141219_BAR001_076,20141219,BAR001_076,SNP70,2013,Male,Australia,Wrecking Ball,More Than Ready,Presenting,August,Australia,,,,,,,
20141219_BAR001_082,20141219,BAR001_082,SNP70,2013,Male,Australia,Vasiliev,Medaglia dOro,Tennessee Midnight,August,Australia,,,,,,,
